day,A,B,PCR
0,21,21,14
1,21,21,0
2,21,21,0
3,46,38,273
4,53,44,36
5,60,50,71
6,70,60,90
7,79,69,90
8,90,80,85
9,114,102,96
10,126,114,39
11,140,128,104
12,149,136,44
13,171,156,168
14,195,180,151
15,215,197,130
16,224,206,178
17,239,221,96
18,253,230,71
19,269,246,3835
20,302,276,258
21,333,302,699
22,392,355,553
23,439,397,147
24,472,427,110
25,498,446,1314
26,552,492,424
27,604,542,181
28,659,591,1855
29,699,629,859
30,762,681,107
31,795,703,43
32,810,718,2083
33,854,759,203
34,893,795,-453
35,929,830,3943
36,982,872,119
37,1016,908,92